url,headline,player,score
http://comp20008-jh.eng.unimelb.edu.au:9889/main/harapova100.html,Sharapova overcomes tough Molik,THIERRY CHAMPION,4-6 6-1 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanove001.html,Henman overcomes rival Rusedski,TIM HENMAN,4-6 7-6 (8-6) 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererwi098.html,Federer wins title in Rotterdam,ROGER FEDERER,5-7 7-5 7-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinslum002.html,Safin slumps to shock Dubai loss,MARAT SAFIN,7-6 (7-2) 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/gassiint096.html,Agassi into second round in Dubai,ANDRE AGASSI,6-4 7-5
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickin004.html,Roddick into San Jose final,ANDY RODDICK,7-6 (7-3) 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanhop095.html,Henman hopes ended in Dubai rain,TIM HENMAN,7-5 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ederercl005.html,Federer claims Dubai crown,ROGER FEDERER,6-1 3-1 0-30
http://comp20008-jh.eng.unimelb.edu.au:9889/main/njuredRo094.html,Injured Roddick quits in Memphis,ANDY RODDICK,7-5 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oungdebu006.html,Young debut cut short by Ginepri,ROBBY GINEPRI,"6-2 6-2,"
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lijsters093.html,Clijsters sets up Venus match-up,KIM WARWICK,7-5 6-7 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/elzersho007.html,Melzer shocks Agassi,JURGEN MELZER,6-3 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererfo008.html,Federer forced to dig deep,ROGER FEDERER,4-6 6-3 7-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickto091.html,Roddick to face Saulnier in final,ANDY RODDICK,7-6 (7-3) 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/adalmarc009.html,Nadal marches on in Mexico,RAFAEL NADAL,7-5 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/irzamake090.html,Mirza makes Indian tennis history,MIRZA BASIC,6-4 5-7 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/elzersho089.html,Melzer shocks Agassi in San Jose,JURGEN MELZER,6-3 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lmagroco088.html,Almagro continues Spanish surge,NICOLAS ALMAGRO,6-7 6-4 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/iggunse087.html,Big guns ease through in San Jose,JOSE LUIS CLERC,7-5 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oggedFed013.html,Dogged Federer claims Dubai crown,ROGER FEDERER,6-1 3-1 0-30
http://comp20008-jh.eng.unimelb.edu.au:9889/main/usedskif086.html,Rusedski forced out in Marseille,GREG RUSEDSKI,6-4 7-5
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanhop014.html,Henman hopes ended in Dubai,TIM HENMAN,7-5 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oderling085.html,Soderling wins tense Milan final,ROBIN SODERLING,6-3 6-7 (2-7) 7-6 (7-5)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/irzashoc015.html,Mirza shocks Kuznetsova,MIRZA BASIC,6-4 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/eteranMa084.html,Veteran Martinez wins Thai title,MARIO MARTINEZ,6-3 3-6 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinreli083.html,Safin relieved at Aussie recovery,MARAT SAFIN,1-6 6-3 6-4 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/artinezs020.html,Martinez sees off Vinci challenge,MARIO MARTINEZ,5-7 6-0 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/entconti078.html,Dent continues Adelaide progress,PHIL DENT,6-1 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/hilippous076.html,Philippoussis doubt over Open bid,MARK PHILIPPOUSSIS,7-5 2-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfal024.html,Hewitt falls to Dent,LLEYTON HEWITT,7-6 (7-4) 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/adalputs071.html,Nadal puts Spain 2-0 up,RAFAEL NADAL,6-7 (6/8) 6-2 7-6 (8/6) 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittove030.html,Hewitt overcomes wobble in Sydney,LLEYTON HEWITT,7-5 6-0
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyafight031.html,Moya fights back for Indian title,CARLOS MOYA,3-6 6-4 7-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ochussho032.html,Rochus shocks Coria in Auckland,OLIVIER ROCHUS,6-4 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ohansson033.html,Johansson takes Adelaide victory,THOMAS JOHANSSON,7-5 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfig066.html,Hewitt fights back to reach final,LLEYTON HEWITT,3-6 7-6 (7-3) 7-6 (7-4) 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ementieva036.html,Dementieva prevails in Hong Kong,THIERRY CHAMPION,6-3 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittsur063.html,Hewitt survives Nalbandian epic,LLEYTON HEWITT,6-3 6-2 1-6 3-6 10-8
http://comp20008-jh.eng.unimelb.edu.au:9889/main/njurysid037.html,Injury sidelines Philippoussis,MARK PHILIPPOUSSIS,7-5 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfal038.html,Hewitt falls to Dent in Adelaide,LLEYTON HEWITT,7-6 (7-4) 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererbr039.html,Federer breezes into semi-finals,ROGER FEDERER,6-1 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/dgyAgass060.html,Edgy Agassi struggles past Dent,ANDRE AGASSI,7-5 7-6 (7-3) 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyasuffe057.html,Moya suffers shock loss,CARLOS MOYA,7-5 6-3 3-6 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/rodigyMo043.html,Prodigy Monfils blows away Gaudio,GAEL MONFILS,6-4 7-6 (7-4)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/gassifea055.html,Agassi fear for Melbourne,ANDRE AGASSI,5-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/auresmoo054.html,Mauresmo opens with victory in LA,HORACIO DE LA PENA,"6-1 6-0,"
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaclinc046.html,Moya clinches Cup for Spain,CARLOS MOYA,6-2 7-6 (7-1) 7-6 (7-5)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ryantwin052.html,Bryan twins keep US hopes alive,BRYAN SHELTON,6-0 6-3 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lassyHen048.html,Classy Henman makes winning start,TIM HENMAN,6-1 7-5
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaemoti049.html,Moya emotional after Davis Cup win,CARLOS MOYA,6-2 7-6 (7-1) 7-6 (7-5)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaemoti050.html,Moya emotional at Davis Cup win,CARLOS MOYA,6-2 7-6 (7-1) 7-6 (7-5)
