block_key,product_id
"('clickart', 'premier')",b000jz4hqo
"('clickart', 'image')",b000jz4hqo
"('clickart', 'pack')",b000jz4hqo
"('clickart', '(dvd-rom)')",b000jz4hqo
"('premier', 'image')",b000jz4hqo
"('premier', 'pack')",b000jz4hqo
"('premier', '(dvd-rom)')",b000jz4hqo
"('image', 'pack')",b000jz4hqo
"('image', '(dvd-rom)')",b000jz4hqo
"('pack', '(dvd-rom)')",b000jz4hqo
"('international', 'arcserve')",b0006zf55o
"('international', 'lap/desktop')",b0006zf55o
"('international', '30pk')",b0006zf55o
"('arcserve', 'lap/desktop')",b0006zf55o
"('arcserve', '30pk')",b0006zf55o
"('lap/desktop', '30pk')",b0006zf55o
"(""noah's"", 'activity')",b00004tkvy
"(""noah's"", 'center')",b00004tkvy
"(""noah's"", '(jewel')",b00004tkvy
"(""noah's"", 'case')",b00004tkvy
"(""noah's"", 'ages')",b00004tkvy
"(""noah's"", '3-8)')",b00004tkvy
"('activity', 'center')",b00004tkvy
"('activity', '(jewel')",b00004tkvy
"('activity', 'case')",b00004tkvy
"('activity', 'ages')",b00004tkvy
"('activity', '3-8)')",b00004tkvy
"('center', '(jewel')",b00004tkvy
"('center', 'case')",b00004tkvy
"('center', 'ages')",b00004tkvy
"('center', '3-8)')",b00004tkvy
"('(jewel', 'case')",b00004tkvy
"('(jewel', 'ages')",b00004tkvy
"('(jewel', '3-8)')",b00004tkvy
"('case', 'ages')",b00004tkvy
"('case', '3-8)')",b00004tkvy
"('ages', '3-8)')",b00004tkvy
"('peachtree', 'sage')",b000g80lqo
"('peachtree', 'premium')",b000g80lqo
"('peachtree', 'accounting')",b000g80lqo
"('peachtree', 'nonprofits')",b000g80lqo
"('peachtree', '2007')",b000g80lqo
"('sage', 'premium')",b000g80lqo
"('sage', 'accounting')",b000g80lqo
"('sage', 'nonprofits')",b000g80lqo
"('sage', '2007')",b000g80lqo
"('premium', 'accounting')",b000g80lqo
"('premium', 'nonprofits')",b000g80lqo
"('premium', '2007')",b000g80lqo
"('accounting', 'nonprofits')",b000g80lqo
"('accounting', '2007')",b000g80lqo
"('nonprofits', '2007')",b000g80lqo
"('singing', 'coach')",b0006se5bq
"('singing', 'unlimited')",b0006se5bq
"('coach', 'unlimited')",b0006se5bq
"('retrospect', 'disk')",b000ehpzv8
"('retrospect', 'disk')",b000ehpzv8
"('retrospect', 'windows')",b000ehpzv8
"('disk', 'disk')",b000ehpzv8
"('disk', 'windows')",b000ehpzv8
"('disk', 'windows')",b000ehpzv8
"('adobe', 'effects')",b00021xhzw
"('adobe', 'professional')",b00021xhzw
"('adobe', 'upgrade')",b00021xhzw
"('adobe', 'standard')",b00021xhzw
"('adobe', 'professional')",b00021xhzw
"('effects', 'professional')",b00021xhzw
"('effects', 'upgrade')",b00021xhzw
"('effects', 'standard')",b00021xhzw
"('effects', 'professional')",b00021xhzw
"('professional', 'upgrade')",b00021xhzw
"('professional', 'standard')",b00021xhzw
"('professional', 'professional')",b00021xhzw
"('upgrade', 'standard')",b00021xhzw
"('upgrade', 'professional')",b00021xhzw
"('standard', 'professional')",b00021xhzw
"('acad', 'upgrade')",b000gzwjgc
"('acad', 'dragon')",b000gzwjgc
"('acad', 'naturallyspeaking')",b000gzwjgc
"('acad', 'solution')",b000gzwjgc
"('acad', '(a289a-fd7-9.0)')",b000gzwjgc
"('upgrade', 'dragon')",b000gzwjgc
"('upgrade', 'naturallyspeaking')",b000gzwjgc
"('upgrade', 'solution')",b000gzwjgc
"('upgrade', '(a289a-fd7-9.0)')",b000gzwjgc
"('dragon', 'naturallyspeaking')",b000gzwjgc
